Tamanho_N,Tempo_ms,Vertices_H
131100,58,32154
131600,58,32174
132100,58,32177
132600,56,32224
133100,56,32201
133600,62,32218
134100,55,32228
134600,59,32217
135100,60,32226
135600,60,32242
136100,60,32261
136600,60,32267
137100,61,32270
137600,61,32277
138100,59,32287
138600,61,32301
139100,64,32296
139600,63,32293
140100,62,32327
140600,65,32323
141100,63,32319
141600,63,32318
142100,63,32341
142600,63,32347
143100,63,32351
143600,64,32374
144100,64,32350
144600,64,32373
145100,65,32364
145600,62,32368
146100,68,32384
146600,64,32400
147100,69,32399
147600,65,32412
148100,68,32398
148600,67,32406
149100,66,32409
149600,67,32426
150100,67,32427
150600,67,32433
151100,68,32444
151600,68,32458
152100,68,32459
152600,69,32458
153100,69,32456
153600,68,32466
154100,69,32484
154600,70,32476
155100,69,32477
155600,70,32488
156100,70,32504
156600,70,32504
157100,70,32503
157600,70,32501
158100,71,32510
158600,71,32524
159100,72,32517
159600,72,32527
160100,72,32517
160600,72,32513
161100,72,32524
161600,71,32536
162100,76,32539
162600,71,32544
163100,79,32545
163600,67,32531
164100,74,32536
164600,74,32551
165100,74,32552
165600,75,32553
166100,74,32550
166600,75,32568
167100,76,32569
167600,75,32568
168100,76,32560
168600,76,32576
169100,77,32585
169600,77,32576
170100,77,32572
170600,77,32579
171100,78,32590
171600,78,32594
172100,77,32597
172600,77,32598
173100,82,32602
173600,82,32603
174100,80,32617
174600,78,32593
175100,78,32612
175600,80,32618
176100,81,32609
176600,80,32623
177100,80,32627
177600,80,32607
178100,81,32623
178600,80,32627
179100,80,32628
179600,81,32627
180100,81,32637
180600,81,32638
181100,81,32630
181600,83,32638
182100,82,32638
182600,83,32645
183100,83,32644
183600,83,32645
184100,83,32649
184600,80,32654
185100,86,32660
185600,86,32654
186100,84,32647
186600,84,32664
187100,85,32660
187600,85,32666
188100,85,32666
188600,86,32664
189100,85,32665
189600,82,32668
190100,89,32673
190600,86,32670
191100,80,32668
191600,87,32674
192100,88,32677
192600,88,32680
193100,88,32677
193600,88,32676
194100,88,32679
194600,89,32685
195100,89,32685
195600,89,32680
196100,226,32687
196600,106,32686
197100,106,32681
197600,107,32685
198100,107,32688
198600,107,32690
199100,106,32693
199600,108,32692
